카테고리 선택	상품선택	세부사항	기타 사항	기본 가격
침실/거실 가구	침대	싱글	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	40000
침실/거실 가구	침대	더블	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	40000
침실/거실 가구	침대	퀸	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	70000
침실/거실 가구	침대	킹	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	80000
침실/거실 가구	쇼파	2인용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	40000
침실/거실 가구	쇼파	3인용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	50000
침실/거실 가구	쇼파	4인용 이상	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	70000
침실/거실 가구	옷장	1도어	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	옷장	2도어	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	옷장	3도어 이상	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	행거	소형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	행거	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	행거	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	수납장	소형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	수납장	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	수납장	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	식탁	2인용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	식탁	4인용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	식탁	6인용 이상	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	화장대	소형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	화장대	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	화장대	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	커튼	단형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	커튼	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	커튼	장형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	거울	소형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	거울	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
침실/거실 가구	거울	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
				
서재가구	책상	소형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
서재가구	책상	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
서재가구	책상	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
서재가구	의자	일반	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
서재가구	의자	특수형태	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
서재가구	책장	소형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
서재가구	책장	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
서재가구	책장	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
				
디지털/생활가전	TV/모니터	32인치 이하	평면	25000
디지털/생활가전	TV/모니터	32인치 이상	평면	25000
디지털/생활가전	TV/모니터	50인치 이상	평면	35000
디지털/생활가전	PC/노트북	데스크탑	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
디지털/생활가전	PC/노트북	노트북	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
디지털/생활가전	에어컨	벽걸이	10평형 이하	200000
디지털/생활가전	에어컨		10평형 이상	200000
디지털/생활가전	에어컨	스탠드	10평형 이하	250000
디지털/생활가전	에어컨		10평형 이상	250000
디지털/생활가전	에어컨	2in1	20평형 이하	300000
디지털/생활가전	에어컨		20평형 이상	300000
디지털/생활가전	세탁기	10kg 이하	드럼	35000
디지털/생활가전	세탁기	10kg 이상	드럼	50000
디지털/생활가전	냉장고	소형(50~599)	양문형	40000
디지털/생활가전	냉장고	중형600~799)	양문형	50000
디지털/생활가전	냉장고	대형(800리터)	양문형	70000
디지털/생활가전	건조기	10kg 이하	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	35000
디지털/생활가전	건조기	10kg 이상	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	50000
디지털/생활가전	공기청정기	소형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	35000
디지털/생활가전	공기청정기	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	45000
디지털/생활가전	공기청정기	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	60000
디지털/생활가전	의류관리기	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	50000
디지털/생활가전	의류관리기	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	70000
디지털/생활가전	청소기	유선	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	20000
디지털/생활가전	청소기	무선	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	20000
				
주방 가전/가구	식기세척기	소형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	35000
주방 가전/가구	식기세척기	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	45000
주방 가전/가구	식기세척기	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	60000
주방 가전/가구	음식물처리기	중형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	35000
주방 가전/가구	음식물처리기	대형	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	50000
주방 가전/가구	전자레인지	20L 이하	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	20000
주방 가전/가구	전자레인지	20L 이상	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	30000
주방 가전/가구	정수기	상단부	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	25000
주방 가전/가구	정수기	하단부	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	25000
주방 가전/가구	가스레인지	2구	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
주방 가전/가구	가스레인지	3구	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
주방 가전/가구	가스레인지	4구 이상	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
주방 가전/가구	주방 테이블	2인용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
주방 가전/가구	주방 테이블	4인용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
주방 가전/가구	주방 테이블	6인용 이상	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
주방 가전/가구	식탁 의자	2개 이하	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
주방 가전/가구	식탁 의자	2개 이상	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
				
운동 및 이동수단	자전거	어린이용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	25000
운동 및 이동수단	자전거	성인용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	25000
운동 및 이동수단	자전거	성인 특수용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	40000
운동 및 이동수단	킥보드	어린이용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	25000
운동 및 이동수단	킥보드	성인용 전동	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	35000
운동 및 이동수단	스쿠터	성인	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	50000
운동 및 이동수단	전동차	어린이용	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	40000
				
기타	운동용품	덤벨	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
기타	운동용품	바벨	해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능	기본 가격은 확인 후 연락드립니다
