id,category,subcategory,name,description,base_price
침대-싱글,,침대,싱글 침대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
침대-더블,,침대,더블 침대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
침대-퀸,,침대,퀸 침대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,70000
침대-킹,,침대,킹 침대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,80000
쇼파-2인용,,쇼파,2인용 쇼파,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
쇼파-3인용,,쇼파,3인용 쇼파,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
쇼파-4인용-이상,,쇼파,4인용 이상 쇼파,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,70000
옷장-1도어,,옷장,1도어 옷장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
옷장-2도어,,옷장,2도어 옷장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
옷장-3도어-이상,,옷장,3도어 이상 옷장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
행거-소형,,행거,소형 행거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
행거-중형,,행거,중형 행거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
행거-대형,,행거,대형 행거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
수납장-소형,,수납장,소형 수납장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
수납장-중형,,수납장,중형 수납장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
수납장-대형,,수납장,대형 수납장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
식탁-2인용,,식탁,2인용 식탁,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
식탁-4인용,,식탁,4인용 식탁,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
식탁-6인용 이상,,식탁,6인용 이상 식탁,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
화장대-소형,,화장대,소형 화장대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
화장대-중형,,화장대,중형 화장대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
화장대-대형,,화장대,대형 화장대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
커튼-단형,,커튼,단형 커튼,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
커튼-중형,,커튼,중형 커튼,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
커튼-장형,,커튼,장형 커튼,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
거울-소형,,거울,소형 거울,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
거울-중형,,거울,중형 거울,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
거울-대형,,거울,대형 거울,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
책상-소형,,책상,소형 책상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
책상-중형,,책상,중형 책상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
책상-대형,,책상,대형 책상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
의자-일반,,의자,일반 의자,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
의자-특수형태,,의자,특수형태 의자,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
책장-소형,,책장,소형 책장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
책장-중형,,책장,중형 책장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
책장-대형,,책장,대형 책장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
tv모니터-32인치 이하,,TV/모니터,32인치 이하 TV/모니터,평면,25000
tv모니터-32인치 이상,,TV/모니터,32인치 이상 TV/모니터,평면,25000
tv모니터-50인치 이상,,TV/모니터,50인치 이상 TV/모니터,평면,35000
pc노트북-데스크탑,,PC/노트북,데스크탑 PC/노트북,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
pc노트북-노트북,,PC/노트북,노트북 PC/노트북,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
에어컨-벽걸이,,에어컨,벽걸이 에어컨,10평형 이하,200000
에어컨-,,에어컨,nan 에어컨,10평형 이상,200000
에어컨-스탠드,,에어컨,스탠드 에어컨,10평형 이하,250000
에어컨-,,에어컨,nan 에어컨,10평형 이상,250000
에어컨-2in1,,에어컨,2in1 에어컨,20평형 이하,300000
에어컨-,,에어컨,nan 에어컨,20평형 이상,300000
세탁기-10kg 이하,,세탁기,10kg 이하 세탁기,드럼,35000
세탁기-10kg 이상,,세탁기,10kg 이상 세탁기,드럼,50000
